chunk_id,document_id,text,source_file,title,document_type,effective_date,status,allowed_roles
44209_chunk_1,44209,"NGÂN HÀNG NHÀ NƯỚC 
 VIỆT NAM 
 ------- 
 
 CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM 
 Độc lập - Tự do - Hạnh phúc 
 --------------- 
 
 
 
 Số: 01/2014/TT-NHNN 
 
 Hà Nội, ngày 06 tháng 01 năm 2014 
 
 
 
 THÔNG TƯ&nbsp; 
 Quy định về giao nhận, bảo quản, vận chuyển 
 tiền mặt, tài sản quý, giấy tờ có giá 
 Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010; 
 Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010; 
 Căn cứ Nghị định số 156/2013/NĐ-CP ngày 11 tháng 11 năm 2013 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam; 
 Căn cứ Nghị định số 40/2012/NĐ-CP ngày 02 tháng 5 năm 2012 của Chính phủ về nghiệp vụ phát hành tiền; bảo quản, vận chuyển tài sản quý và giấy tờ có giá trong hệ thống Ngân hàng Nhà nước, tổ chức tín dụng và chi nhánh ngân hàng nước ngoài; 
 Theo đề nghị của Cục trưởng Cục Phát hành và Kho quỹ; 
 Thống đốc Ngân hàng Nhà nước Việt Nam ban hành Thông tư quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá.&nbsp; 
 Chương I 
 QUY ĐỊNH CHUNG",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_1,44209,"Điều 1. Phạm vi điều chỉnh 
 1. Thông tư này quy định việc giao nhận, bảo quản, vận chuyển; kiểm tra, kiểm kê, bàn giao, xử lý thừa thiếu tiền mặt, tài sản quý, giấy tờ có giá trong ngành Ngân hàng; việc thu, chi tiền mặt giữa Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và khách hàng. 
 2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác không thuộc phạm vi điều chỉnh của Thông tư này.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_2,44209,"Điều 2. Đối tượng áp dụng 
 1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước). 
 2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài. 
 3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_3,44209,"Điều 3. Giải thích từ ngữ 
 Trong Thông tư này, các từ ngữ dưới đây được hiểu như sau: 
 1. “Tiền mặt” là các loại tiền giấy, tiền kim loại do Ngân hàng Nhà nước phát hành. 
 2. “Tiền giấy” bao gồm tiền cotton và tiền polymer do Ngân hàng Nhà nước phát hành. 
 3. “Tài sản quý” bao gồm vàng, kim khí quý, đá quý, ngoại tệ tiền mặt và các loại tài sản quý khác. 
 4. “Giấy tờ có giá” bao gồm trái phiếu, tín phiếu và các loại giấy tờ có giá khác theo quy định của pháp luật. 
 5. “Tờ” là đơn vị về số lượng của tiền giấy, ngoại tệ tiền mặt, giấy tờ có giá. 
 6. “Miếng” là đơn vị về số lượng của tiền kim loại. 
 7. “Niêm phong” là việc sử dụng giấy niêm phong và/ hoặc kẹp chì để ghi dấu hiệu trên bó, túi, hộp, bao, thùng tiền đã được đóng gói theo quy định, đảm bảo bó, túi, hộp, bao, thùng tiền được giữ nguyên, đầy đủ. 
 8. “Kẹp chì” là một phương pháp niêm phong sử dụng kìm chuyên dùng kẹp hai đầu dây đã buộc miệng túi, bao, thùng tiền qua viên chì. Sau khi kẹp, dấu hiệu tên, ký hiệu riêng của đơn vị có tiền phải nổi rõ, đầy đủ trên bề mặt viên chì. 
 9. “Khách hàng” là cá nhân, tổ chức, doanh nghiệp ngoài ngành Ngân hàng có giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài. 
 Chương II 
 KIỂM ĐẾM, ĐÓNG GÓI VÀ GIAO NHẬN TIỀN MẶT, 
 TÀI SẢN QUÝ, GIẤY TỜ CÓ GIÁ 
 Mục&nbsp;1 
 QUY ĐỊNH VỀ ĐÓNG GÓI NIÊM PHONG TIỀN MẶT, 
 TÀI SẢN QUÝ, GIẤY TỜ CÓ GIÁ",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_4,44209,"Điều 4. Đóng gói tiền mặt 
 1. Một bó tiền gồm 1.000 (một nghìn) tờ tiền giấy cùng mệnh giá, cùng chất liệu được đóng thành 10 (mười) thếp, mỗi thếp gồm 100 (một trăm) tờ. 
 2. Một bao tiền gồm 20 (hai mươi) bó tiền cùng mệnh giá, cùng chất liệu. 
 3. Một túi tiền gồm 1.000 (một nghìn) miếng tiền kim loại đã qua lưu thông, cùng mệnh giá được đóng thành 20 (hai mươi) thỏi, mỗi thỏi gồm 50 (năm mươi) miếng. 
 4. Một hộp tiền gồm 2.000 (hai nghìn) miếng tiền kim loại mới đúc, cùng mệnh giá được đóng thành 40 (bốn mươi) thỏi, mỗi thỏi gồm 50 (năm mươi) miếng. 
 5. Một thùng tiền kim loại gồm 10 (mười) túi tiền cùng mệnh giá. 
 Đối với kho tiền Trung ương và kho tiền Ngân hàng Nhà nước chi nhánh tỉnh Bình Định, một thùng tiền kim loại gồm: 
 a) 50 (năm mươi) túi tiền loại mệnh giá 5.000 đồng; 
 b) 75 (bảy mươi lăm) túi tiền loại mệnh giá 2.000 đồng; 1.000 đồng; 500 đồng; 
 c) 100 (một trăm) túi tiền loại mệnh giá 200 đồng. 
 6. Cục trưởng Cục Phát hành và Kho quỹ hướng dẫn quy cách đóng gói tiền mặt.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff"", ""Guest""]"
44209_art_5,44209,"Điều 5. Niêm phong tiền mặt 
 1. Giấy niêm phong bó tiền là loại giấy mỏng, kích thước phù hợp với từng loại tiền và được in sẵn một số nội dung. Ngân hàng Nhà nước sử dụng giấy niêm phong màu trắng, mực in màu đen. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài được sử dụng màu giấy hoặc màu mực riêng trên giấy niêm phong sau khi thống nhất mẫu giấy niêm phong với Ngân hàng Nhà nước. 
 2. Trên giấy niêm phong bó, túi, hộp, bao, thùng tiền phải có đầy đủ, rõ ràng các nội dung sau: tên ngân hàng; loại tiền; số lượng (tờ, miếng, bó, túi) tiền; số tiền; họ tên và chữ ký của người kiểm đếm, đóng gói; ngày, tháng, năm đóng gói niêm phong. 
 3. Người có tên, chữ ký trên giấy niêm phong phải chịu trách nhiệm về bó, túi, hộp, bao, thùng tiền đã niêm phong. 
 4. Quy định niêm phong bao, túi, thùng tiền của Ngân hàng Nhà nước: 
 a) Kẹp chì đối với tiền mới in; 
 b) Kẹp chì kèm giấy niêm phong đối với tiền đã qua lưu thông. 
 5. Niêm phong tiền mới in: 
 a) Trên giấy niêm phong gói tiền mới in (10 bó) gồm các nội dung: cơ sở in, đúc tiền; loại tiền; số sêri; tên hoặc số hiệu của người đóng gói, đóng bao; năm sản xuất; 
 b) Trên bao tiền gồm các nội dung: ký hiệu loại tiền, năm sản xuất, sêri hoặc mã vạch bao tiền.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_6,44209,"Điều 6. Đóng gói, niêm phong tài sản quý, giấy tờ có giá 
 1. Việc đóng gói, niêm phong ngoại tệ, giấy tờ có giá thực hiện như đóng gói, niêm phong tiền mặt. 
 2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác được quy định tại một văn bản riêng. 
 Mục&nbsp;2 
 KIỂM ĐẾM VÀ GIAO NHẬN TIỀN MẶT, NGOẠI TỆ, GIẤY TỜ CÓ GIÁ",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff"", ""Guest""]"
44209_art_7,44209,"Điều 7. Nguyên tắc thu, chi tiền mặt, ngoại tệ, giấy tờ có giá 
 1. Mọi khoản thu, chi tiền mặt, ngoại tệ, giấy tờ có giá của Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài phải thực hiện thông qua quỹ của đơn vị. 
 2. Thu, chi tiền mặt, ngoại tệ, giấy tờ có giá phải căn cứ vào chứng từ kế toán. Trước khi thu, chi phải kiểm soát tính hợp lệ, hợp pháp của chứng từ kế toán. 
 Tiền mặt, ngoại tệ, giấy tờ có giá thu vào hay chi ra phải đủ, đúng với tổng số tiền (bằng số và bằng chữ), khớp đúng về thời gian (ngày, tháng, năm) trên chứng từ kế toán, sổ kế toán, sổ quỹ. Sau khi thu và trước khi chi tiền mặt, chứng từ kế toán phải có chữ ký của người nộp (hay lĩnh tiền) và thủ quỹ hoặc thủ kho tiền hoặc nhân viên thu, chi tiền mặt.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_8,44209,"Điều 8. Bảng kê các loại tiền thu (hoặc chi) 
 Mỗi chứng từ kế toán thu (hoặc chi) tiền mặt, ngoại tệ, giấy tờ có giá phải lập kèm theo một Bảng kê các loại tiền thu (hoặc chi) hoặc một biên bản giao nhận. Bảng kê, biên bản giao nhận được bảo quản theo quy định.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff"", ""Guest""]"
44209_art_9,44209,"Điều 9. Kiểm đếm tiền mặt, ngoại tệ, giấy tờ có giá 
 1. Khi thu, chi tiền mặt, ngoại tệ, giấy tờ có giá phải được kiểm đếm chính xác. 
 2. Người nộp hoặc lĩnh tiền mặt, ngoại tệ, giấy tờ có giá phải chứng kiến khi ngân hàng kiểm đếm hoặc kiểm đếm lại trước khi rời khỏi quầy chi của ngân hàng.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff"", ""Guest""]"
44209_art_10,44209,"Điều 10. Thu, chi tiền mặt với khách hàng 
 1. Các khoản thu, chi tiền mặt của Sở Giao dịch Ngân hàng Nhà nước (sau đây gọi tắt là Sở Giao dịch), Ngân hàng Nhà nước chi nhánh tỉnh, thành phố trực thuộc Trung ương (sau đây gọi tắt là Ngân hàng Nhà nước chi nhánh), tổ chức tín dụng, chi nhánh ngân hàng nước ngoài với khách hàng phải thực hiện kiểm đếm tờ hoặc miếng theo đúng quy trình nghiệp vụ. 
 Trường hợp không thể kiểm đếm tiền mặt thu của khách hàng xong trong ngày, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và khách hàng có thể thỏa thuận áp dụng phương thức thu nhận tiền mặt theo túi niêm phong và tổ chức kiểm đếm tờ (miếng) số tiền mặt đã nhận theo túi niêm phong vào ngày làm việc tiếp theo. 
 2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài hướng dẫn thực hiện về quy trình thu, chi tiền mặt đối với khách hàng (kể cả thu, chi tiền mặt trong giao dịch một cửa, ngân hàng bán lẻ và các hoạt động có liên quan đến thu, chi tiền mặt khác). 
 3. Cục trưởng Cục Phát hành và Kho quỹ hướng dẫn quy trình thu, chi tiền mặt áp dụng đối với Ngân hàng Nhà nước.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_11,44209,"Điều 11. Giao nhận tiền mặt trong ngành Ngân hàng 
 1. Giao nhận tiền mặt theo bó tiền đủ 10 thếp, nguyên niêm phong hoặc túi tiền nguyên niêm phong kẹp chì trong các trường hợp: 
 a) Giao nhận tiền mặt trong nội bộ Sở Giao dịch, Ngân hàng Nhà nước chi nhánh đối với tiền đã qua lưu thông (trừ trường hợp quy định tại điểm c Khoản 2 Điều này); 
 b) Giao nhận tiền mặt theo lệnh điều chuyển giữa kho tiền Trung ương với Sở Giao dịch, Ngân hàng Nhà nước chi nhánh và ngược lại; giữa các kho tiền Trung ương với nhau; giữa các Ngân hàng Nhà nước chi nhánh với nhau; 
 c) Giao nhận tiền mặt giữa Sở Giao dịch, Ngân hàng Nhà nước chi nhánh với tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và ngược lại; giữa các tổ chức tín dụng, chi nhánh ngân hàng nước ngoài trên địa bàn tỉnh, thành phố với nhau. 
 2. Giao nhận tiền mặt theo bao, hộp, thùng nguyên niêm phong trong các trường hợp: 
 a) Giao nhận các loại tiền mới in, đúc của cơ sở in, đúc tiền hoặc của Ngân hàng Nhà nước trong các trường hợp quy định tại Khoản 1 Điều này; 
 b) Các loại tiền được kiểm đếm, phân loại, đóng gói bằng hệ thống máy đa chức năng xử lý kiểm đếm, phân loại, đóng bó (túi) liên hoàn của Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài thì được giao nhận như tiền mới in, đúc quy định tại Khoản này; 
 c) Xuất, nhập các loại tiền đã qua lưu thông giữa Quỹ dự trữ phát hành và Quỹ nghiệp vụ phát hành của Ngân hàng Nhà nước chi nhánh khi được Giám đốc Ngân hàng Nhà nước chi nhánh quyết định bằng văn bản. 
 3. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài quy định việc giao nhận tiền mặt trong hệ thống.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
44209_art_12,44209,"Điều 12. Kiểm đếm tiền mặt giao nhận trong ngành Ngân hàng 
 1. Sở Giao dịch, Ngân hàng Nhà nước chi nhánh nhận tiền trong trường hợp quy định tại điểm b Khoản 1",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff"", ""Guest""]"
44209_art_62,44209,"Điều 62 Thông tư này. Thời hạn kiểm đếm là 30 ngày làm việc kể từ ngày nhận tiền. Đơn vị giao cử người chứng kiến; trường hợp không cử người chứng kiến, đơn vị giao phải có thông báo bằng văn bản cho đơn vị nhận. 
 Cục trưởng Cục Phát hành và Kho quỹ xem xét, quyết định việc kéo dài thời gian kiểm đếm tiền mặt theo lệnh điều chuyển trong các trường hợp do nguyên nhân khách quan theo đề nghị của Sở Giao dịch, Ngân hàng Nhà nước chi nhánh. 
 Trường hợp Sở Giao dịch, Ngân hàng Nhà nước chi nhánh nhận tiền không tổ chức kiểm đếm tờ (miếng) số tiền đã nhận theo lệnh điều chuyển có thể giao bó (túi) tiền nguyên niêm phong đó cho tổ chức tín dụng, chi nhánh ngân hàng nước ngoài trong cùng tỉnh, thành phố và phải cử người chứng kiến khi đơn vị nhận tổ chức kiểm đếm tờ (miếng). 
 2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài nhận tiền theo quy định tại điểm c Khoản 1",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,20/02/2014,Hết hiệu lực một phần,"[""Admin"", ""Staff""]"
