entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
DoiTuongApDung_859512377,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_84410887,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,166170,metadata/gemini,1.0,metadata/enrichment
NguoiKy_125471001,NguoiKy,Vương Đình Huệ,Vương Đình Huệ,166170,metadata,1.0,metadata
DoiTuongApDung_828448012,DoiTuongApDung,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ","Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",166170,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_403536334,DoiTuongApDung,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng","Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",166170,metadata/gemini,1.0,metadata/enrichment
LinhVuc_384788153,LinhVuc,Tín dụng,Tín dụng,166170,metadata,1.0,metadata
CoQuan_631011907,CoQuan,Quốc hội,Quốc hội,166170,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186888,metadata,1.0,metadata
LinhVuc_233210126,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",174218,metadata,1.0,metadata
NguoiKy_175756545,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,174218,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,174218,metadata,1.0,metadata
DoiTuongApDung_339967341,DoiTuongApDung,"Tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài","tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",112924,metadata/gemini,1.0,metadata/enrichment
LinhVuc_296997001,LinhVuc,Chứng khoán,Chứng khoán,112924,metadata,1.0,metadata
NguoiKy_392866180,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,metadata,1.0,metadata
CoQuan_224723433,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,metadata,1.0,metadata
DoiTuongApDung_867310617,DoiTuongApDung,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, Công ty quản lý tài sản của các tổ chức tín dụng Việt Nam","Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, Công ty quản lý tài sản của các tổ chức tín dụng Việt Nam",186482,metadata/gemini,1.0,metadata/enrichment
LinhVuc_204942460,LinhVuc,Cục An toàn hệ thống các tổ chức tín dụng,Cục An toàn hệ thống các tổ chức tín dụng,186482,metadata,1.0,metadata
NguoiKy_175756545,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,186482,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,186482,metadata,1.0,metadata
DoiTuongApDung_242495839,DoiTuongApDung,"Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài","Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài",173695,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_403536334,DoiTuongApDung,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng","Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",173695,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_859512377,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,173695,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_526033542,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,173695,metadata/gemini,1.0,metadata/enrichment
LinhVuc_233210126,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173695,metadata,1.0,metadata
NguoiKy_175756545,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173695,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173695,metadata,1.0,metadata
DoiTuongApDung_926133329,DoiTuongApDung,"Ngân hàng, chi nhánh ngân hàng nước ngoài","ngân hàng, chi nhánh ngân hàng nước ngoài",164719,metadata/gemini,1.0,metadata/enrichment
LinhVuc_233210126,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",164719,metadata,1.0,metadata
NguoiKy_175756545,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,metadata,1.0,metadata
DoiTuongApDung_444077050,DoiTuongApDung,"Các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập","các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập",150974,metadata/gemini,1.0,metadata/enrichment
LinhVuc_566025587,LinhVuc,"Kế toán, kiểm toán","Kế toán, kiểm toán",150974,metadata,1.0,metadata
NguoiKy_494977834,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,metadata,1.0,metadata
CoQuan_224723433,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,metadata,1.0,metadata
DoiTuongApDung_420902510,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân","Tổ chức, cá nhân có liên quan đến quản trị, điều hành, tổ chức và hoạt động của quỹ tín dụng nhân dân",168859,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_564712484,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168859,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_614888172,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168859,metadata/gemini,1.0,metadata/enrichment
LinhVuc_233210126,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168859,metadata,1.0,metadata
NguoiKy_306203262,NguoiKy,Đào Minh Tú,Đào Minh Tú,168859,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168859,metadata,1.0,metadata
DoiTuongApDung_56526574,DoiTuongApDung,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,143217,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_82441061,DoiTuongApDung,Các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ,các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ,143217,metadata/gemini,1.0,metadata/enrichment
LinhVuc_898393019,LinhVuc,Kiểm toán,Kiểm toán,143217,metadata,1.0,metadata
NguoiKy_809720219,NguoiKy,Đỗ Hoàng Anh Tuấn,Đỗ Hoàng Anh Tuấn,143217,metadata,1.0,metadata
CoQuan_224723433,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,metadata,1.0,metadata
DoiTuongApDung_960165797,DoiTuongApDung,"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ","Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, tổ chức, cá nhân có liên quan đến hệ thống kiểm soát nội bộ và kiểm toán nội bộ",27257,metadata/gemini,1.0,metadata/enrichment
LinhVuc_869840649,LinhVuc,Kiểm soát nội bộ và kiểm toán nội bộ,kiểm soát nội bộ và kiểm toán nội bộ,27257,metadata,1.0,metadata
NguoiKy_705281220,NguoiKy,Trần Minh Tuấn,Trần Minh Tuấn,27257,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,27257,metadata,1.0,metadata
LinhVuc_233210126,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",173460,metadata,1.0,metadata
NguoiKy_175756545,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,173460,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,173460,metadata,1.0,metadata
DoiTuongApDung_955184280,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán","Tổ chức, cá nhân có liên quan đến việc đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán",30402,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_530157567,DoiTuongApDung,"Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_624411778,DoiTuongApDung,"Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam","Kiểm toán viên đăng ký hành nghề tại doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam",30402,metadata/gemini,1.0,metadata/enrichment
LinhVuc_783077438,LinhVuc,Quản lý dịch vụ tài chính và các quỹ tài chính,Quản lý dịch vụ tài chính và các quỹ tài chính,30402,metadata,1.0,metadata
NguoiKy_392866180,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,30402,metadata,1.0,metadata
CoQuan_224723433,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,metadata,1.0,metadata
DoiTuongApDung_697390452,DoiTuongApDung,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài","Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài",f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata/gemini,1.0,metadata/enrichment
LinhVuc_32937,LinhVuc,Chứng khoán và thị trường chứng khoán,chứng khoán và thị trường chứng khoán,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,1.0,metadata
NguoiKy_632254791,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,1.0,metadata
CoQuan_224723433,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,1.0,metadata
DoiTuongApDung_159597623,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",95652,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_715272991,DoiTuongApDung,Các cơ quan quản lý nhà nước,Các cơ quan quản lý nhà nước,95652,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_889105028,DoiTuongApDung,Nhà đầu tư,Nhà đầu tư,95652,metadata/gemini,1.0,metadata/enrichment
LinhVuc_948606539,LinhVuc,Đầu tư gián tiếp ra nước ngoài,đầu tư gián tiếp ra nước ngoài,95652,metadata,1.0,metadata
NguoiKy_720650062,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,metadata,1.0,metadata
CoQuan_459545539,CoQuan,Chính phủ,Chính phủ,95652,metadata,1.0,metadata
DoiTuongApDung_479252915,DoiTuongApDung,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam","Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam",169221,metadata/gemini,1.0,metadata/enrichment
LinhVuc_718993294,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,metadata,1.0,metadata
NguoiKy_653696408,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,metadata,1.0,metadata
CoQuan_817656383,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,metadata,1.0,metadata
DoiTuongApDung_769432579,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ","Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",133858,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_576196400,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,metadata/gemini,1.0,metadata/enrichment
DoiTuongApDung_61619648,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,metadata/gemini,1.0,metadata/enrichment
