id,type,name,description,source_file,data_origin,verification_status,category,cause,event,impact,inherent_level,residual_level,owner_unit_id,control_type,frequency,owner_role_id,effectiveness,risk_id,occurred_at,discovered_at,severity,loss_amount_vnd
RR-001,RuiRo,Giao dịch chuyển tiền bị hạch toán sai,Đối soát giao dịch cuối ngày không đầy đủ,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro van hanh,Thiếu đối chiếu giữa hệ thống thanh toán và sổ cái,Giao dịch được ghi nhận sai trạng thái,Tổn thất tài chính và khiếu nại khách hàng,Cao,Trung binh,DV-OPS,,,,,,,,,
RR-002,RuiRo,Phê duyệt tín dụng vượt thẩm quyền,Kiểm tra hạn mức phê duyệt không hiệu lực,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro tin dung,Phân quyền trên hệ thống không cập nhật,Khoản vay được phê duyệt vượt thẩm quyền,Tăng nợ xấu và vi phạm quy định,Cao,Trung binh,DV-CREDIT,,,,,,,,,
RR-003,RuiRo,Giải ngân thiếu hồ sơ bảo đảm,Hồ sơ giải ngân chưa đủ điều kiện,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro tin dung,Kiểm tra điều kiện tiên quyết bị bỏ qua,Giải ngân khi thiếu chứng từ bắt buộc,Khó thu hồi nợ và vi phạm quy trình,Cao,Trung binh,DV-CREDIT,,,,,,,,,
RR-004,RuiRo,Lộ thông tin khách hàng,Quyền truy cập dữ liệu không được kiểm soát phù hợp,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro cong nghe thong tin,Cấp quyền vượt nhu cầu công việc,Dữ liệu khách hàng bị truy cập hoặc chia sẻ trái phép,Vi phạm bảo mật và tổn hại uy tín,Cao,Trung binh,DV-IT,,,,,,,,,
RR-005,RuiRo,Gián đoạn dịch vụ ngân hàng số,Hệ thống thanh toán trực tuyến không sẵn sàng,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro cong nghe thong tin,Kế hoạch năng lực và dự phòng chưa đầy đủ,Dịch vụ ngân hàng số bị gián đoạn,Mất doanh thu và khiếu nại khách hàng,Cao,Trung binh,DV-IT,,,,,,,,,
RR-006,RuiRo,Gian lận giả mạo yêu cầu chuyển tiền,Nhận diện và xác thực yêu cầu chưa đủ mạnh,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro gian lan,Nhân viên không xác minh kênh liên lạc,Yêu cầu chuyển tiền giả mạo được xử lý,Tổn thất tài chính,Cao,Trung binh,DV-OPS,,,,,,,,,
RR-007,RuiRo,Chậm báo cáo giao dịch đáng ngờ,Theo dõi cảnh báo AML không kịp thời,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro tuan thu,Khối lượng cảnh báo vượt năng lực xử lý,Báo cáo giao dịch đáng ngờ nộp muộn,Chế tài và rủi ro pháp lý,Cao,Trung binh,DV-COMPLIANCE,,,,,,,,,
RR-008,RuiRo,Định giá tài sản bảo đảm không chính xác,Dữ liệu định giá không độc lập hoặc hết hạn,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro tin dung,Thiếu rà soát lại giá trị tài sản,Tài sản bảo đảm được định giá cao hơn thực tế,Tăng tổn thất khi xử lý nợ,Cao,Trung binh,DV-CREDIT,,,,,,,,,
RR-009,RuiRo,Không phát hiện giao dịch bất thường,Luật phát hiện gian lận không được cập nhật,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro gian lan,Ngưỡng cảnh báo không phù hợp,Giao dịch nghi ngờ không bị chặn kịp thời,Tổn thất tài chính và uy tín,Cao,Trung binh,DV-OPS,,,,,,,,,
RR-010,RuiRo,Sai lệch số liệu báo cáo quản trị,Dữ liệu nguồn không được đối chiếu,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro bao cao,Thay đổi dữ liệu không có kiểm soát,Báo cáo quản trị có số liệu sai,Quyết định quản trị sai lệch,Trung binh,Thap,DV-FINANCE,,,,,,,,,
RR-011,RuiRo,Nhà cung cấp công nghệ không đáp ứng cam kết,Giám sát SLA nhà cung cấp không đầy đủ,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro ben thu ba,Điều khoản hợp đồng và chỉ số SLA không được theo dõi,Dịch vụ thuê ngoài suy giảm chất lượng,Gián đoạn dịch vụ và tổn hại uy tín,Trung binh,Trung binh,DV-IT,,,,,,,,,
RR-012,RuiRo,Xung đột lợi ích trong mua sắm,Quy trình lựa chọn nhà cung cấp thiếu độc lập,risk_profiles_seed.csv,SYNTHETIC,VERIFIED,Rui ro dao duc,Thiếu kê khai và rà soát xung đột lợi ích,Quyết định mua sắm không khách quan,Tăng chi phí và rủi ro pháp lý,Trung binh,Thap,DV-PROCUREMENT,,,,,,,,,
KS-001,KiemSoat,Đối soát tự động giao dịch và sổ cái,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Detective,Hang ngay,VT-OPS-CONTROL,Hieu qua,,,,,
KS-002,KiemSoat,Kiểm tra hạn mức phê duyệt trên hệ thống,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Theo giao dich,VT-CREDIT-APPROVER,Hieu qua,,,,,
KS-003,KiemSoat,Checklist điều kiện giải ngân bắt buộc,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Theo giao dich,VT-CREDIT-OFFICER,Can cai thien,,,,,
KS-004,KiemSoat,Rà soát quyền truy cập định kỳ,,controls_seed.csv,SYNTHETIC,VERIFIED,,,,,,,,Preventive,Hang quy,VT-IT-SECURITY,Hieu qua,,,,,
