source_id,entity,entity_type,source,method,confidence,evidence
166170,Quốc hội,CoQuan,content_clean,gemini,0.95,Quốc hội ban hành Luật Các tổ chức tín dụng.
166170,Vương Đình Huệ,NguoiKy,content_clean,gemini,0.98,CHỦ TỊCH QUỐC HỘI Vương Đình Huệ
166170,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.95,1. Tổ chức tín dụng.
166170,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
166170,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng"
166170,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,0.95,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ"
166170,"Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng",DoiTuongApDung,content_clean,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
166170,Tổ chức tín dụng,LinhVuc,content_clean,gemini,0.9,LUẬT CÁC TỔ CHỨC TÍN DỤNG
112025,Chính phủ,CoQuan,content_clean,gemini,0.95,CHÍNH PHỦ CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
112025,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.98,TM. CHÍNH PHỦ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
112025,Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,gemini,0.9,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
112025,Chi nhánh nước ngoài,DoiTuongApDung,content_clean,gemini,0.9,b) Chi nhánh nước ngoài;
112025,"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",DoiTuongApDung,content_clean,gemini,0.9,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
112025,Kinh doanh bảo hiểm,LinhVuc,content_clean,gemini,0.95,NGHỊ ĐỊNH QUY ĐỊNH CHI TIẾT THI HÀNH LUẬT KINH DOANH BẢO HIỂM
38128,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM,CoQuan,content_clean,gemini,0.95,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
38128,Đào Minh Tú,NguoiKy,content_clean,gemini,0.95,Đào Minh Tú
38128,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,0.9,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,gemini,0.9,2. Nhà máy in tiền Quốc gia.
38128,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",DoiTuongApDung,content_clean,gemini,0.9,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
38128,"thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam",LinhVuc,content_clean,gemini,0.85,"THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam"
26750,Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam,CoQuan,content_clean,gemini,0.95,"Luật này đã được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XII, kỳ họp thứ 9 thông qua ngày 29 tháng 3 ngày 2011."
