source_id,source_so_ky_hieu,target_so_ky_hieu,trigger,evidence
166170,32/2024/QH15,47/2010/QH12,"sửa đổi, bổ sung","Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này"
166170,32/2024/QH15,17/2017/QH14,"sửa đổi, bổ sung","Luật Các tổ chức tín dụng số 47/2010/QH12 đã được sửa đổi, bổ sung một số điều theo Luật số 17/2017/QH14 hết hiệu lực kể từ ngày Luật này có hiệu lực thi hành, trừ quy định tại các khoản 1, 2, 3, 4, 8, 9, 12 và 14 Điều 210 của Luật này"
166170,32/2024/QH15,42/2017/QH14,nhắc đến,Tài sản bảo đảm của khoản nợ xấu là dự án bất động sản đã được thu giữ theo quy định tại Điều 7 của Nghị quyết số 42/2017/QH14 về thí điểm xử lý nợ xấu của các tổ chức tín dụng (sau đây gọi là Nghị quyết số 42/2017/QH14) hoặc đang thực hiện thủ tục chuyển nhượng theo quy định tại Điều 10 của Nghị quyết số 42/2017/QH14 trước ngày Luật này có hiệu lực thi hành mà đến ngày Luật này có hiệu lực thi hành chưa xử lý xong thì được tiếp tục áp dụng quy định tại Điều 10 của Nghị quyết số 42/2017/QH14 từ ngày 01 tháng 01 năm 2024 cho đến khi xử lý xong
166170,32/2024/QH15,29/2023/QH15,nhắc đến,"Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài, công ty quản lý nợ và khai thác tài sản của tổ chức tín dụng, công ty quản lý tài sản của các tổ chức tín dụng Việt Nam thành lập và hoạt động theo quy định của pháp luật về các tổ chức tín dụng được chuyển nhượng toàn bộ hoặc một phần dự án bất động sản đã nhận làm tài sản bảo đảm trước ngày Luật này có hiệu lực thi hành để thu hồi nợ không phải áp dụng quy định về điều kiện chủ thể kinh doanh bất động sản đối với bên chuyển nhượng dự án bất động sản của pháp luật về kinh doanh bất động sản nhưng phải đáp ứng các điều kiện sau đây: a) Dự án bất động sản chuyển nhượng phải đáp ứng điều kiện quy định tại các điểm a, d, đ, g và h khoản 1 Điều 40 của Luật Kinh doanh bất động sản số 29/2023/QH15 và phải có quyết định giao đất, cho thuê đất của cơ quan nhà nước có thẩm quyền"
112025,73/2016/NĐ-CP,67/2014/NĐ-CP,nhắc đến,"Đại lý bán sản phẩm bảo hiểm liên kết đầu tư, bảo hiểm hưu trí, bảo hiểm theo Nghị định 67/2014/NĐ-CP 1"
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,nhắc đến,Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm
112025,73/2016/NĐ-CP,123/2011/NĐ-CP,"sửa đổi, bổ sung","Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm và sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm"
112025,73/2016/NĐ-CP,45/2007/NĐ-CP,"sửa đổi, bổ sung","Nghị định số 123/2011/NĐ-CP ngày 28 tháng 12 năm 2011 của Chính phủ quy định chi tiết thi hành một số điều của Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm và sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm"
112025,73/2016/NĐ-CP,68/2014/NĐ-CP,"sửa đổi, bổ sung","Nghị định số 68/2014/NĐ-CP ngày 09 tháng 7 năm 2014 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm và Nghị định số 46/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chế độ tài chính đối với doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm hết hiệu lực thi hành kể từ ngày Nghị định này có hiệu lực"
112025,73/2016/NĐ-CP,46/2007/NĐ-CP,"sửa đổi, bổ sung","Nghị định số 68/2014/NĐ-CP ngày 09 tháng 7 năm 2014 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 45/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chi tiết thi hành một số điều của Luật kinh doanh bảo hiểm và Nghị định số 46/2007/NĐ-CP ngày 27 tháng 3 năm 2007 của Chính phủ quy định chế độ tài chính đối với doanh nghiệp bảo hiểm, doanh nghiệp môi giới bảo hiểm hết hiệu lực thi hành kể từ ngày Nghị định này có hiệu lực"
